STT,Nhóm,Tool (tên MCP),Trạng thái,Ghi chú,Ngày test cuối
177,Motion/Transform,set_clip_position / set_clip_scale,✅,"Live-tested sau fix (xem get_clip_transform): pixel quy đổi đúng cả 2 chiều, test center + lệch tâm. set_scale_width_height/set_uniform_scale chưa làm riêng",2026-09-14
178,Motion/Transform,set_clip_rotation / set_clip_anchor_point,✅,Live-tested: verify read-back khớp đúng,2026-09-14
179,"Motion/Transform (Clip properties — 0 tool riêng hiện tại, chỉ có set_effect_param chung)","`set_anti_alias_quality` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
180,"Motion/Transform (Clip properties — 0 tool riêng hiện tại, chỉ có set_effect_param chung)","`set_blend_mode` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
181,"Motion/Transform (Clip properties — 0 tool riêng hiện tại, chỉ có set_effect_param chung)","`get_clip_adjustment_layer` / `add_adjustment_layer` [leancoderkavy, hetpatel-expanded, antipaster]",🆕 Đề xuất,,-
182,Selection nâng cao,`invert_selection` [leancoderkavy],🆕 Đề xuất,,-
183,Selection nâng cao,"`select_clips_by_name` / `select_clips_by_color` / `select_disabled_clips` [leancoderkavy, hetpatel-expanded]",🆕 Đề xuất,,-
184,Selection nâng cao,`set_clip_selection`,🆕 Đề xuất,"chọn/bỏ chọn 1 clip cụ thể [leancoderkavy, hetpatel-expanded, antipaster]",-
185,Effects nâng cao (ngoài apply/get/set-param/remove đã có),`apply_audio_effect`,🆕 Đề xuất,"riêng biệt effect âm thanh [leancoderkavy, hetpatel, antipaster]",-
186,Effects nâng cao (ngoài apply/get/set-param/remove đã có),`batch_apply_effect` / `apply_audio_effect_to_all_clips`,🆕 Đề xuất,"áp effect hàng loạt [leancoderkavy, hetpatel]",-
187,Effects nâng cao,remove_all_effects,✅,"BUG AN TOÀN đã fix 2026-09-14: mặc định xoá luôn cả Motion/Opacity (component nội tại UI không cho xoá) làm clip mất khả năng transform. Fix: mặc định bỏ qua, thêm includeIntrinsic để chủ động xoá. Live-tested. remove_effect_by_name = remove_effect đã có sẵn từ trước",2026-09-14
188,Effects nâng cao,get_effect_properties,✅,Live-tested: đọc đủ tên/giá trị/keyframeCount từng param,2026-09-14
189,Effects nâng cao,set_effect_enabled,❌ Không thể,"XÁC NHẬN 2026-09-14 qua probe Component: chỉ có getParam/getMatchName/getDisplayName/getParamCount, không có API enable/bypass",-
190,Effects nâng cao (ngoài apply/get/set-param/remove đã có),`set_color_value`,🆕 Đề xuất,"set màu trên effect property [leancoderkavy, hetpatel-expanded]",-
191,Effects nâng cao (ngoài apply/get/set-param/remove đã có),`copy_effect_values` / `copy_effects_between_clips`,🆕 Đề xuất,"copy effect giữa các clip [leancoderkavy, hetpatel-expanded]",-
192,Effects nâng cao (ngoài apply/get/set-param/remove đã có),`apply_lut`,🆕 Đề xuất,"LUT file qua Lumetri [leancoderkavy, hetpatel]",-
193,Effects nâng cao (ngoài apply/get/set-param/remove đã có),`color_correct`,🆕 Đề xuất,"color correction cơ bản [leancoderkavy, hetpatel]",-
194,Transitions nâng cao,`add_transition_to_clip`,🆕 Đề xuất,"transition tại 1 đầu clip cụ thể [leancoderkavy, hetpatel]",-
195,Transitions nâng cao,"`list_available_audio_transitions` [leancoderkavy, hetpatel, ayushozha]",🆕 Đề xuất,,-
196,Transitions nâng cao,`remove_transition`,🆕 Đề xuất,"gỡ transition [leancoderkavy, ayushozha, antipaster]",-
197,Transitions nâng cao,`set_default_transition` [antipaster],🆕 Đề xuất,,-
198,Transitions nâng cao,`get_transition_properties` / `get_duration_of_transition` [ayushozha],🆕 Đề xuất,,-
199,Audio nâng cao,set_track_volume / set_track_pan / solo_track,❌ Không thể,"XÁC NHẬN 2026-09-14 qua probe Track: chỉ có createSetNameAction/setMute/getIndex/isMuted/getTrackItems, không có volume/pan/solo",-
200,"Audio nâng cao (cấp track, không chỉ clip)",`set_clips_volume`,🆕 Đề xuất,set volume hàng loạt clip trên 1 track [leancoderkavy],-
201,Audio nâng cao,get_clip_volume,✅,Live-tested: đọc đúng gainDb + muted,2026-09-14
202,Audio nâng cao,set_clip_mute,✅,Live-tested cả 2 chiều - verify mute độc lập với gainDb,2026-09-14
203,"Audio nâng cao (cấp track, không chỉ clip)",`analyze_loudness` (EBU R128 LUFS) / `normalize_loudness_file` [leancoderkavy,🆕 Đề xuất,giá trị cao cho chuẩn phát sóng],-
204,"Audio nâng cao (cấp track, không chỉ clip)",`detect_audio_transients` / `detect_beats` [leancoderkavy,🆕 Đề xuất,khớp trực tiếp Beat Shake/Motion Engine],-
205,"Audio nâng cao (cấp track, không chỉ clip)",`apply_audio_crossfade`,🆕 Đề xuất,"tự động crossfade tại điểm cắt liền kề [leancoderkavy, antipaster]",-
206,"Audio nâng cao (cấp track, không chỉ clip)",`get_audio_mixer_state` / `normalize_audio` [ayushozha],🆕 Đề xuất,,-
207,"Audio nâng cao (cấp track, không chỉ clip)","`set_audio_channel_mapping` / `get_audio_channel_mapping` [leancoderkavy, antipaster]",🆕 Đề xuất,,-
208,Color nâng cao,`read_video_scopes`,🆕 Đề xuất,waveform/parade/vectorscope readback để QC màu [leancoderkavy — giá trị cao],-
209,Color nâng cao,`premiere_lumetri_set_*`,🆕 Đề xuất,điều khiển từng bánh xe/curve Lumetri riêng lẻ thay vì gộp chung [ayushozha],-
210,Video/Scene Analysis (ngoài detect_scene_edits đã có),`detect_source_scene_changes`,🆕 Đề xuất,cut detection qua FFmpeg trên file nguồn [leancoderkavy],-
211,Video/Scene Analysis (ngoài detect_scene_edits đã có),`detect_motion_peaks`,🆕 Đề xuất,tìm khoảnh khắc chuyển động cao [leancoderkavy],-
212,Video/Scene Analysis (ngoài detect_scene_edits đã có),`detect_active_picture_bounds`,🆕 Đề xuất,phát hiện letterbox/pillarbox [leancoderkavy],-
213,Video/Scene Analysis (ngoài detect_scene_edits đã có),`analyze_video_interlacing`,🆕 Đề xuất,progressive/interlaced [leancoderkavy],-
214,Video/Scene Analysis (ngoài detect_scene_edits đã có),`analyze_video_qc`,🆕 Đề xuất,black frame/freeze frame/dropped frame trước khi xuất [leancoderkavy],-
215,Video/Scene Analysis (ngoài detect_scene_edits đã có),`inspect_media_streams`,🆕 Đề xuất,ffprobe cho file media [leancoderkavy],-
216,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`add_caption_track` / `add_caption` / `get_captions` / `update_caption` / `remove_caption`,🆕 Đề xuất,"thao tác caption TỪNG SEGMENT, chi tiết hơn nhiều so với tool hiện có [antipaster]",-
217,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`import_captions` / `export_captions`,🆕 Đề xuất,"nhiều format (SRT/SCC/MCC) [antipaster, leancoderkavy]",-
218,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`transcribe_sequence`,🆕 Đề xuất,speech-to-text tự động (Premiere 2021+) [antipaster],-
219,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`validate_closed_captions`,🆕 Đề xuất,kiểm tra tuân thủ CC [ayushozha],-
220,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`build_caption_artifact`,🆕 Đề xuất,tạo SRT/VTT kiểu CapCut/Submagic [leancoderkavy],-
221,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`check_caption_safe_zone`,🆕 Đề xuất,check vị trí caption theo platform safe zone [leancoderkavy],-
222,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`get_clip_transcript_uxp` [UXP],🆕 Đề xuất,đọc transcript NATIVE của Premiere (khác transcript tự sinh của mình) [leancoderkavy],-
223,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`has_transcript_uxp` [UXP] / `get_transcript_languages_uxp` [UXP] [leancoderkavy],🆕 Đề xuất,,-
224,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`import_transcript_uxp` [UXP],🆕 Đề xuất,ghi transcript native [leancoderkavy],-
225,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`search_clip_transcript_uxp` [UXP],🆕 Đề xuất,tìm trong transcript không sửa gì [leancoderkavy],-
226,Captions/Subtitles nâng cao (ngoài create_caption_track/import_srt/read_sequence_captions đã có),`inspect_caption_tracks_uxp` [UXP],🆕 Đề xuất,kiểm kê caption track native [leancoderkavy],-
227,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`detect_repeated_takes`,🆕 Đề xuất,phát hiện thoại lặp (retake) [leancoderkavy],-
228,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`analyze_dialogue_edit_candidates`,🆕 Đề xuất,gợi ý điểm cắt thoại [leancoderkavy],-
229,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`rank_short_form_candidates`,🆕 Đề xuất,xếp hạng đoạn video dài thành ứng viên short-form [leancoderkavy],-
230,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_chapter_markers`,🆕 Đề xuất,tự tạo chapter YouTube từ transcript [leancoderkavy],-
231,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_filler_word_removal`,🆕 Đề xuất,kế hoạch cắt từ đệm (ừm/à) [leancoderkavy],-
232,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_pause_tightening`,🆕 Đề xuất,kế hoạch rút ngắn khoảng lặng [leancoderkavy],-
233,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_word_mute_ranges`,🆕 Đề xuất,kế hoạch mute/bleep từ ngữ [leancoderkavy],-
234,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_speaker_checkerboard`,🆕 Đề xuất,layout xen kẽ người nói [leancoderkavy],-
235,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_active_speaker_reframe`,🆕 Đề xuất,tự động reframe theo người đang nói [leancoderkavy],-
236,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_beat_montage`,🆕 Đề xuất,kế hoạch montage theo beat [leancoderkavy — khớp Beat Shake],-
237,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_emphasis_zoom_keyframes`,🆕 Đề xuất,kế hoạch zoom nhấn kiểu CapCut [leancoderkavy],-
238,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_shot_match`,🆕 Đề xuất,so khớp màu giữa các shot [leancoderkavy],-
239,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_silence_review_markers`,🆕 Đề xuất,đánh dấu review khoảng lặng [leancoderkavy],-
240,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`plan_transcript_rough_cut_uxp` [UXP],🆕 Đề xuất,dựng rough-cut từ transcript native [leancoderkavy],-
241,"AI editorial — pattern ""plan → preview → apply"" (nhóm hoàn toàn mới, giá trị kiến trúc cao)",`preview_transcript_edit_uxp` [UXP],🆕 Đề xuất,validate/merge đoạn transcript đã chọn [leancoderkavy],-
242,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`set_mogrt_text`,🆕 Đề xuất,"set trực tiếp field text của MOGRT [ayushozha — **đáng chú ý: đây là giải pháp khả dĩ cho gap ""MOGRT text"" mình đã đánh dấu là giới hạn hệ sinh thái — cần điều tra thêm xem có phải CEP-only hay có API UXP tương đương**]",-
243,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`set_mogrt_property`,🆕 Đề xuất,"set property MOGRT bất kỳ (không chỉ text) [ayushozha, antipaster]",-
244,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`get_mogrt_properties` / `get_mogrt_component`,🆕 Đề xuất,"đọc property editable của MOGRT [ayushozha, leancoderkavy, antipaster]",-
245,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`import_mogrt_from_library`,🆕 Đề xuất,"từ Creative Cloud Library [leancoderkavy, hetpatel]",-
246,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`add_mogrt_to_timeline`,🆕 Đề xuất,đặt MOGRT lên timeline (khác import_mogrt chỉ import vào project) [antipaster],-
247,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`get_available_mogrts`,🆕 Đề xuất,liệt kê MOGRT template có sẵn [antipaster],-
248,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`add_text_graphic` / `style_text_graphic`,🆕 Đề xuất,text graphic không cần MOGRT + sửa text/vị trí [antipaster],-
249,"MOGRT nâng cao (bao gồm hướng khả thi cho vấn đề ""set text"" mình đang bí!)",`add_color_matte` / `add_black_video` / `add_universal_counting_leader`,🆕 Đề xuất,"object timeline mới hoàn toàn (màu nền, slug, leader) [antipaster]",-
250,Metadata nâng cao (ngoài get/set field-based đã có),`get_xmp_metadata` / `set_xmp_metadata`,🆕 Đề xuất,"RAW XML XMP, khác field-based hiện có [leancoderkavy, antipaster]",-
251,Metadata nâng cao (ngoài get/set field-based đã có),`get_file_metadata`,🆕 Đề xuất,"metadata KỸ THUẬT (codec/resolution/framerate/filesize), khác XMP [antipaster]",-
252,Metadata nâng cao (ngoài get/set field-based đã có),`set_clip_description`,🆕 Đề xuất,mô tả/ghi chú riêng [antipaster],-
253,Metadata nâng cao (ngoài get/set field-based đã có),`add_custom_metadata_field`,🆕 Đề xuất,thêm field metadata tuỳ chỉnh vào schema project [leancoderkavy],-
254,Playback/Navigation,get/set_playhead_position,✅,Live-tested: di chuyển + đọc lại playhead khớp đúng,2026-09-14
255,Playback/Navigation,play / stop / step_forward / step_backward,❌ Không thể,"XÁC NHẬN 2026-09-14 qua probe Sequence: không có command/menu execution API trong UXP",-
256,Playback/Navigation & Meta-tooling,`open_in_source_monitor` / `get_source_monitor_clip` / `set_source_in_out`,🆕 Đề xuất,"Source Monitor control [leancoderkavy, antipaster]",-
257,Playback/Navigation & Meta-tooling,`search_tools` / `get_tool_schema` / `invoke_tool`,🆕 Đề xuất,"meta-tool cho agent tự khám phá/gọi tool động, giảm tải context khi có nhiều tool [hetpatel — ý tưởng kiến trúc đáng cân nhắc khi mình có >100 tool]",-
258,Playback/Navigation & Meta-tooling,`undo` / `redo`,🆕 Đề xuất,"LƯU Ý: nhiều repo (leancoderkavy) tự đánh dấu 2 tool này ""Unavailable — Premiere không có API undo-stack hỗ trợ"" — rủi ro cao, cân nhắc kỹ trước khi làm",-
259,Playback/Navigation & Meta-tooling,"`add_universal_counting_leader` (trùng mục 19, xem ở trên)",🆕 Đề xuất,,-
260,"AI Integration mẫu (pattern đáng học, không phải tool cụ thể của Premiere)",`elevenlabs_generate_speech` / `elevenlabs_list_voices` / `elevenlabs_generate_captions_voice`,🆕 Đề xuất,"tích hợp TTS bên thứ 3 ngay trong tool layer, tự động import + đặt lên timeline [antipaster — pattern gọi API AI ngoài từ trong tool, áp dụng được bất kể stack]",-
261,"AI Integration mẫu (pattern đáng học, không phải tool cụ thể của Premiere)",`manage_workflow_checkpoints_uxp` [UXP],🆕 Đề xuất,checkpoint/restore pattern xác nhận CÓ THẬT trong UXP (không chỉ CaYatur suy đoán như báo cáo trước) [leancoderkavy],-
